idx,v0_x,v0_y,v1_x,v1_y,order
15,-11.568415159539217,28.190647545130894,-10.815518541807442,26.72189134335501,
15,-11.568415159539217,28.190647545130894,-12.94836839068384,25.702725342079084,
15,-11.568415159539217,28.190647545130894,-10.963539467088456,25.313822301189333,
15,-11.568415159539217,28.190647545130894,-14.106909065862318,25.542194888027325,
15,-11.568415159539217,28.190647545130894,-15.460852854406195,27.331923658920154,
15,-11.568415159539217,28.190647545130894,-9.224676592840407,23.68499938822397,
15,-11.568415159539217,28.190647545130894,-6.525986451996861,26.228826908090397,
16,0.5167483426908959,-14.124685832685476,3.6917469884901237,-12.702291333499335,15
16,0.5167483426908959,-14.124685832685476,3.691969642203155,-11.520922418871297,15
16,0.5167483426908959,-14.124685832685476,-4.200038271274064,-13.755790402746834,15
16,0.5167483426908959,-14.124685832685476,-5.623784931739635,-13.186842385231827,15
16,0.5167483426908959,-14.124685832685476,-7.886409957316857,-14.633216104608776,15
16,0.5167483426908959,-14.124685832685476,-8.339938798522525,-13.9054450654054,15
16,0.5167483426908959,-14.124685832685476,-8.428159517424493,-12.993613450287821,15
17,25.494849639848795,-24.00042579612783,26.087899489220305,-26.947339107103886,
17,25.494849639848795,-24.00042579612783,28.545650618260844,-23.4208204403014,
17,25.494849639848795,-24.00042579612783,28.669845806773615,-28.748249587248566,
17,25.494849639848795,-24.00042579612783,27.05359458774138,-18.263445121526946,
17,25.494849639848795,-24.00042579612783,22.30179305039764,-14.314786452040135,
17,25.494849639848795,-24.00042579612783,27.209359326457793,-13.82109910160502,
17,25.494849639848795,-24.00042579612783,22.17276353275686,-12.801766081446601,
18,3.691969642203155,-11.520922418871297,3.6917469884901237,-12.702291333499335,
18,3.691969642203155,-11.520922418871297,0.5167483426908959,-14.124685832685476,
18,3.691969642203155,-11.520922418871297,9.043766713776968,-10.782779437094444,
18,3.691969642203155,-11.520922418871297,9.644438065184872,-14.253720004439987,
18,3.691969642203155,-11.520922418871297,10.181666173644956,-12.677699725459338,
18,3.691969642203155,-11.520922418871297,5.2850610607259085,-17.95533685683612,
18,3.691969642203155,-11.520922418871297,11.725768398565684,-12.35949902021446,
19,15.655508630292587,-24.486829281197956,18.65246984049577,-25.712643354407135,
19,15.655508630292587,-24.486829281197956,12.46407036652937,-23.332664050763228,
19,15.655508630292587,-24.486829281197956,20.342616178319403,-24.81969779576369,
19,15.655508630292587,-24.486829281197956,8.202392775296829,-26.247156845596905,
19,15.655508630292587,-24.486829281197956,23.29314014200596,-28.236368447162263,
19,15.655508630292587,-24.486829281197956,6.515737485336416,-26.72106527712566,
19,15.655508630292587,-24.486829281197956,6.333052767553021,-26.73873554703712,
20,-4.200038271274064,-13.755790402746834,-5.623784931739635,-13.186842385231827,16
20,-4.200038271274064,-13.755790402746834,-7.886409957316857,-14.633216104608776,16
20,-4.200038271274064,-13.755790402746834,-8.339938798522525,-13.9054450654054,16
20,-4.200038271274064,-13.755790402746834,-8.428159517424493,-12.993613450287821,16
20,-4.200038271274064,-13.755790402746834,0.5167483426908959,-14.124685832685476,16
20,-4.200038271274064,-13.755790402746834,-8.909316977546776,-13.025181747454187,16
20,-4.200038271274064,-13.755790402746834,-8.874702090407624,-15.102009308169475,16
21,-10.868171354563387,2.5956699854603613,-13.481925391057624,2.897572234118904,
21,-10.868171354563387,2.5956699854603613,-8.318101392801896,3.9562930430258305,
21,-10.868171354563387,2.5956699854603613,-7.639908421754367,1.2763849758964305,
21,-10.868171354563387,2.5956699854603613,-11.847938245626146,6.229071231337066,
21,-10.868171354563387,2.5956699854603613,-14.091625542430094,6.409083400294513,
21,-10.868171354563387,2.5956699854603613,-14.485551727112572,9.213914649257767,
21,-10.868171354563387,2.5956699854603613,-3.8822500074946866,-0.6673493695618831,
22,28.506310913253067,-8.397776610189386,26.69668192810962,-8.726637861490108,
22,28.506310913253067,-8.397776610189386,24.232005511819864,-7.973610810472017,
22,28.506310913253067,-8.397776610189386,27.72488811507028,-3.7042957566624715,
22,28.506310913253067,-8.397776610189386,23.736070763372993,-6.1648521894815715,
22,28.506310913253067,-8.397776610189386,27.145102889123734,-3.303115751865281,
22,28.506310913253067,-8.397776610189386,27.209359326457793,-13.82109910160502,
22,28.506310913253067,-8.397776610189386,25.721323601307027,-3.132756951310192,
