time,x,y,theta,Vx,Vy,Vlin,Vang,cur_cell,is_go_to_base,is_tangent_movement,is_vertical_movement,is_up,is_down,is_go_to_next_cell
412900000000,10.509491525414594,-20.391749474879123,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
413000000000,10.509491525414594,-20.291749474879122,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
413000000000,10.509491525414594,-20.291749474879122,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
413100000000,10.509491525414594,-20.19174947487912,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
413100000000,10.509491525414594,-20.19174947487912,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
413200000000,10.509491525414594,-20.09174947487912,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
413200000000,10.509491525414594,-20.09174947487912,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
413300000000,10.509491525414594,-19.991749474879118,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
413300000000,10.509491525414594,-19.991749474879118,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
413400000000,10.509491525414594,-19.891749474879116,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
413400000000,10.509491525414594,-19.891749474879116,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
413500000000,10.509491525414594,-19.791749474879115,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
413500000000,10.509491525414594,-19.791749474879115,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
413600000000,10.509491525414594,-19.691749474879114,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
413600000000,10.509491525414594,-19.691749474879114,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
413700000000,10.509491525414594,-19.591749474879112,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
413700000000,10.509491525414594,-19.591749474879112,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
413800000000,10.509491525414594,-19.49174947487911,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
413800000000,10.509491525414594,-19.49174947487911,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
413900000000,10.509491525414594,-19.39174947487911,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
413900000000,10.509491525414594,-19.39174947487911,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
414000000000,10.509491525414594,-19.291749474879108,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
414000000000,10.509491525414594,-19.291749474879108,0.0,0.0,1.4000000000000001,0.0,0.0,8,False,False,True,True,False,False
414100000000,10.509491525414594,-19.191749474879106,0.0,0.1886390745835306,0.06644772035419408,0.1886390745835306,0.0,8,False,True,False,False,True,False
414100000000,10.509491525414594,-19.191749474879106,0.0,0.1886390745835306,0.06644772035419408,0.1886390745835306,0.0,8,False,True,False,False,True,False
414200000000,10.509491525414594,-19.091749474879105,0.0,0.1954823644870079,0.0422687257268137,0.1954823644870079,0.0,8,False,True,False,False,True,False
414200000000,10.509491525414594,-19.091749474879105,0.0,0.1954823644870079,0.0422687257268137,0.1954823644870079,0.0,8,False,True,False,False,True,False
414300000000,10.528355432872948,-19.085104702843687,0.0,0.19802483016660477,0.028038663261420578,0.19802483016660477,0.0,8,False,True,False,False,True,False
414300000000,10.528355432872948,-19.085104702843687,0.0,0.19802483016660477,0.028038663261420578,0.19802483016660477,0.0,8,False,True,False,False,True,False
414400000000,10.547903669321649,-19.080877830271007,0.0,0.19775164004891765,0.02990466281306825,0.19775164004891765,0.0,8,False,True,False,False,True,False
414400000000,10.547903669321649,-19.080877830271007,0.0,0.19775164004891765,0.02990466281306825,0.19775164004891765,0.0,8,False,True,False,False,True,False
414500000000,10.567706152338308,-19.078073963944863,0.0,0.19693724254703224,0.03486721236306975,0.19693724254703224,0.0,8,False,True,False,False,True,False
414500000000,10.567706152338308,-19.078073963944863,0.0,0.19693724254703224,0.03486721236306975,0.19693724254703224,0.0,8,False,True,False,False,True,False
414600000000,10.5874813163432,-19.075083497663556,0.0,0.19682667653115654,0.03548604522484119,0.19682667653115654,0.0,8,False,True,False,False,True,False
414600000000,10.5874813163432,-19.075083497663556,0.0,0.19682667653115654,0.03548604522484119,0.19682667653115654,0.0,8,False,True,False,False,True,False
414700000000,10.607175040597904,-19.07159677642725,0.0,0.19587224060747507,0.04042357430271846,0.19587224060747507,0.0,8,False,True,False,False,True,False
414700000000,10.607175040597904,-19.07159677642725,0.0,0.19587224060747507,0.04042357430271846,0.19587224060747507,0.0,8,False,True,False,False,True,False
414800000000,10.62685770825102,-19.068048171904763,0.0,0.19561425618773823,0.04165408474709196,0.19561425618773823,0.0,8,False,True,False,False,True,False
414800000000,10.62685770825102,-19.068048171904763,0.0,0.19561425618773823,0.04165408474709196,0.19561425618773823,0.0,8,False,True,False,False,True,False
414900000000,10.646444932311768,-19.06400581447449,0.0,0.19479396376761715,0.045335545432918976,0.19479396376761715,0.0,8,False,True,False,False,True,False
414900000000,10.646444932311768,-19.06400581447449,0.0,0.19479396376761715,0.045335545432918976,0.19479396376761715,0.0,8,False,True,False,False,True,False
415000000000,10.666006357930542,-19.059840405999783,0.0,0.1940574524519917,0.048391168076860634,0.1940574524519917,0.0,8,False,True,False,False,True,False
415000000000,10.666006357930542,-19.059840405999783,0.0,0.1940574524519917,0.048391168076860634,0.1940574524519917,0.0,8,False,True,False,False,True,False
415100000000,10.685485754307303,-19.05530685145649,0.0,0.19277942277511678,0.05325499182699017,0.19277942277511678,0.0,8,False,True,False,False,True,False
415100000000,10.685485754307303,-19.05530685145649,0.0,0.19277942277511678,0.05325499182699017,0.19277942277511678,0.0,8,False,True,False,False,True,False
415200000000,10.704891499552502,-19.0504677346488,0.0,0.19261108158043763,0.05386066516869248,0.19261108158043763,0.0,8,False,True,False,False,True,False
415200000000,10.704891499552502,-19.0504677346488,0.0,0.19261108158043763,0.05386066516869248,0.19261108158043763,0.0,8,False,True,False,False,True,False
